question,super_category,English_translated,English_Paraphrase,French_Paraphrase
Le propriétaire peut-il mettre fin au bail non officiel de colocation avant l’échéance à Bruxelles ?,Droit immobilier,Can the owner terminate the informal rental lease before expiry in Brussels?,Is it possible for the owner to end the informal rental lease before it ends in Brussels?,Est-il possible pour le propriétaire de mettre fin au bail de location informel avant qu'il ne se termine à Bruxelles?
Comment puis-je contester le montant des impôts que je dois payer ?,Droit financier,How can I dispute the amount of taxes I have to pay?,How can I challenge the amount of taxes I have to pay?,Comment puis-je contester le montant des taxes que je dois payer?
Je suis marié(e). Dois-je rester fidèle à mon époux(se) ?,Droit de la famille,I am married. Do I have to remain faithful to my husband?,Do I have to be faithful to my husband?,Dois - je être fidèle à mon mari?
Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Peut-on me réclamer une aide financière pour l'enfant si je suis son père biologique mais pas légal ?,Droit de la famille,The parents are not married together. The mother of the child is married to someone other than the father. Can I be asked for financial assistance for the child if I am his biological father but not legal?,The mother of the child is not married to the father.,La mère de l'enfant n'est pas mariée au père.
Je suis convoqué en justice. Que faire si mon adversaire ne respecte pas la décision de justice ?,Droit pénal,What if my opponent doesn't respect the court decision?,What if my opponent doesn't respect the court decision?,Et si mon adversaire ne respecte pas la décision du tribunal ?
Je suis convoqué en justice. Suis-je obligé de prendre un avocat ?,Droit pénal,"I'm summoned to court, do I have to get a lawyer?",Do I need a lawyer when I'm summoned to court?,Est-ce que j'ai besoin d'un avocat quand je suis convoqué au tribunal ?
Je suis marié(e). Mon conjoint peut-il m'obliger à travailler pour faire face aux dépenses du ménage ?,Droit de la famille,I am married. Can my spouse force me to work to meet household expenses?,Can my spouse force me to work to meet household expenses?,Mon conjoint peut-il me forcer à travailler pour couvrir les dépenses du ménage?
Je pense que mon logement est insalubre. Je m'adresse au bourgmestre. Quelle est la mission du bourgmestre en matière d'insalubrité en Wallonie ?,Droit immobilier,I think my accommodation is unsanitary. I address the mayor. What is the mayor's mission in terms of unsanitaryness in Wallonia?,What is the mayor's mission in regards to unsanitaryness in Wallonia?,Quelle est la mission du maire en ce qui concerne l'insalubrité en Wallonie ?
Que se passe-t-il si je suis saisi sur mes revenus et que j'ai d'autres créanciers ?,Droit financier,What happens if I'm seized of my income and I have other creditors?,What happens if my income is seized and I have other debts?,Que se passe-t-il si mon revenu est saisi et que j'ai d'autres dettes?
L'expulsion est-elle interrompue si je suis en RCD (réglement collectif de dettes) à Bruxelles ?,Droit immobilier,Is the expulsion interrupted if I am in RCD (collective debt regulation) in Brussels?,Is the expulsion interrupted if I am in the RCD?,L'expulsion est-elle interrompue si je suis dans le RCD ?
J'ai été condamné à une peine de prison. A quelles conditions puis-je obtenir la surveillance électronique ?,Droit pénal,"I was sentenced to a prison sentence, under what conditions can I obtain electronic surveillance?",I was sentenced to a prison sentence and what conditions can I obtain electronic surveillance?,J'ai été condamné à une peine de prison et quelles conditions puis-je obtenir une surveillance électronique ?
Je me sépare. Comment se déroule la procédure de mesures urgentes et provisoires entre cohabitants légaux ?,Droit de la famille,How is the procedure for urgent and temporary measures between legal cohabitants going?,Is there a procedure for urgent and temporary measures between legal cohabitants?,Existe-t-il une procédure de mesures urgentes et temporaires entre cohabitants légaux?
Les père et mère de l'enfant résident ensemble. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant mineur ?,Droit de la famille,The child's father and mother reside together. What if the other parent made a decision with which I do not agree about our minor child?,The child's father and mother live together.,Le père et la mère de l'enfant vivent ensemble.
A quelles conditions puis-je être mis sous administration de biens et/ou de la personne ?,Droit de la famille,Under what conditions can I be placed under the administration of property and/or the person?,Is it possible for me to be placed under the administration of property or the person?,Est-il possible que je sois placé sous l'administration des biens ou de la personne?
Quelles démarches effectuer après l'accouchement pour être considérée comme la maman de l'enfant ?,Droit de la famille,What steps are taken after delivery to be considered as the child's mother?,The child's mother should know what steps are taken after delivery.,La mère de l'enfant doit savoir quelles mesures sont prises après l'accouchement.
"Si mon bail étudiant n'est pas enregistré, puis-je y mettre fin sans préavis, ni indemnité à Bruxelles ?",Droit immobilier,"If my student lease is not registered, can I terminate it without notice or compensation in Brussels?",Can I end my student lease without notice or compensation if it's not registered?,Puis-je mettre fin à mon bail étudiant sans préavis ni compensation s'il n'est pas enregistré?
Peut-on réclamer un loyer à un colocataire qui est parti à Bruxelles ?,Droit immobilier,Can we claim rent from a roommate who has gone to Brussels?,Can we claim rent from a roommate?,Peut-on réclamer le loyer d'un colocataire ?
Quelles sont les réparations à charge du propriétaire à Bruxelles ?,Droit immobilier,What are the owner's repairs in Brussels?,What are the owner's repairs in the city?,Quelles sont les réparations du propriétaire dans la ville ?
Que faire si mes enfants m'empèchent de voir mes petits-enfants ?,Droit de la famille,What if my kids keep me from seeing my grandchildren?,What if my kids don't allow me to see my grandsons?,Et si mes enfants ne me permettent pas de voir mes petits-fils ?
Comment se déroule une expulsion en Wallonie ?,Droit immobilier,How is an expulsion taking place in Wallonia?,What is happening in Wallonia?,Qu'est-ce qui se passe en Wallonie ?
"Si mon bail n'est pas enregistré, puis-je y mettre fin sans préavis, ni indemnité à Bruxelles ?",Droit immobilier,"If my lease is not registered, can I terminate it without notice or compensation in Brussels?",Can I end my lease without notice or compensation if it's not registered?,Puis-je mettre fin à mon bail sans préavis ni compensation s'il n'est pas enregistré?
Comment désigner une personne de confiance ?,Droit de la famille,How do I designate a trusted person?,I don't know how to designate a trusted person.,Je ne sais pas comment désigner une personne de confiance.
Mon propriétaire peut-il m'expulser si je suis en retard de paiement en Wallonie ?,Droit immobilier,Can my owner expel me if I'm late for payment in Wallonia?,"If I'm late for payment in Wallonia, can my owner expel me?","Si je suis en retard pour le paiement en Wallonie, mon propriétaire peut-il m'expulser ?"
"Nous ne sommes pas mariés, quel nom portera mon enfant si le père ne le reconnaît pas ?",Droit de la famille,"We're not married, what name will my child bear if the father doesn't recognize him?","If the father doesn't recognize my child, what name will he give him?","Si le père ne reconnaît pas mon enfant, quel nom lui donnera-t-il ?"
L'expulsion est-elle interrompue si je suis en RCD (réglement collectif de dettes) en Wallonie ?,Droit immobilier,Is the expulsion interrupted if I am in RCD (collective debt regulation) in Wallonia?,Is the expulsion interrupted if I am in RCD in Wallonia?,L'expulsion est-elle interrompue si je suis au RCD en Wallonie ?
Je me sépare. Puis-je demander au tribunal de la famille la garde des enfants avant que le divorce soit prononcé ?,Droit de la famille,May I ask the family court for custody of the children before the divorce is pronounced?,"Before the divorce is pronounced, may I ask the family court for custody of the children?","Avant que le divorce ne soit prononcé, puis-je demander au tribunal de la famille la garde des enfants?"
Qu'est-ce que le trajet de réintégration ?,Droit de la protection sociale,What is the reintegration route?,What is the reintegration route?,Quelle est la voie de réintégration?
Dois-je être personnellement présent(e) aux audiences devant le tribunal de la famille si j’ai lancé la procédure ?,Droit de la famille,Do I have to be personally present at the hearings in the family court if I have initiated the proceedings?,"If I have initiated the proceedings, do I have to be present at the hearings?","Si j'ai entamé la procédure, dois-je être présent aux audiences?"
Mon propriétaire peut-il me réclamer des arriérés d'indexation de loyer en Wallonie ?,Droit immobilier,Can my owner claim any rent indexing arrears in Wallonia?,Is it possible for my owner to claim rent arrears in Wallonia?,Est-il possible pour mon propriétaire de réclamer des arriérés de loyer en Wallonie?
Je suis parent. Mon ex ne paie pas la contribution alimentaire. Puis-je refuser qu'il continue à voir les enfants ?,Droit de la famille,I'm a parent. My ex doesn't pay the food contribution. Can I refuse him to keep seeing the children?,I'm a parent and my ex doesn't pay the food contribution.,Je suis un parent et mon ex ne paie pas la contribution alimentaire.
Je suis majeur. Je suis marié à un/une Belge. Que faire si je n'ai pas d'acte de naissance pour ma demande de nationalité ?,Droit des étrangers,I'm an adult. I'm married to a Belgian. What if I don't have a birth certificate for my application for citizenship?,I'm married to a Belgian and I don't have a birth certificate.,Je suis marié à un Belge et je n'ai pas d'acte de naissance.
A quoi sert le secret professionnel ?,Droit du travail,What's professional secrecy for?,What is professional secrecy for?,À quoi sert le secret professionnel ?
Quelle est la valeur des accords obtenus en médiation familiale ?,Droit de la famille,What is the value of agreements obtained in family mediation?,What is the value of family mediation agreements?,Quelle est la valeur des ententes de médiation familiale?
Je suis parent. Qu'est-ce que le SECAL ?,Droit de la famille,I'm a parent.,I'm a parent.,Je suis un parent.
Je suis parent. Dois-je encore payer la contribution alimentaire si mon fils de 23 ans est toujours en première ?,Droit de la famille,Do I still have to pay the food contribution if my 23-year-old son is still in the first place?,"If my son is still in the first place, do I still have to pay the food contribution?","Si mon fils est encore en premier lieu, est-ce que je dois encore payer la contribution alimentaire ?"
Après combien de temps ma facture d'eau est-elle prescrite en Wallonie ?,Droit financier,After how long is my water bill prescribed in Wallonia?,How long is my water bill in Wallonia?,Combien de temps dure ma facture d'eau en Wallonie ?
Le propriétaire peut-il augmenter le loyer de mon bail étudiant à Bruxelles ?,Droit immobilier,Can the owner increase the rent of my student lease in Brussels?,Can the owner increase the rent for my student lease?,Le propriétaire peut-il augmenter le loyer de mon bail étudiant?
Je me marie. Puis-je me marier avec une personne de même sexe ?,Droit de la famille,Can I marry someone of the same sex?,Can I marry someone of the same sex?,Je peux épouser quelqu'un du même sexe ?
Que faire si le propriétaire abuse du droit de visite en Wallonie ?,Droit immobilier,What if the owner abuses access in Wallonia?,What if the owner abuses access in Wallonia?,Et si le propriétaire abusait de l'accès en Wallonie ?
Mon propriétaire peut-il augmenter le loyer en cours de bail à Bruxelles ?,Droit immobilier,Can my owner increase the rent during leases in Brussels?,Can my owner increase the rent?,Mon propriétaire peut-il augmenter le loyer ?
Dois-je partir avant la mise en oeuvre de l'expulsion à Bruxelles ?,Droit immobilier,Do I have to leave before the expulsion takes place in Brussels?,Do I have to leave before the expulsion takes place?,Dois-je partir avant l'expulsion ?
Je suis majeur. Je suis handicapé . Comment se déroule la procédure de demande de nationalité ?,Droit des étrangers,I am an adult. I am disabled. How is the procedure for applying for nationality going?,I am an adult and disabled. How is it to apply for a nationality?,Je suis adulte et handicapé. Comment peut-on demander une nationalité ?
Je m'assure que le propriétaire a obtenu un permis de location (Région wallonne). Pour quels logements le permis de location est-il nécessaire en Wallonie ?,Droit immobilier,I make sure the owner has obtained a rental permit (Walloon Region). For which accommodation is the rental permit required in Wallonia?,I make sure the owner has a permit.,Je m'assure que le propriétaire a un permis.
Qui peut demander un règlement collectif de dettes (RCD) ?,Droit financier,Who can apply for collective debt settlement (CDR)?,Who can apply for collective debt settlement?,Qui peut présenter une demande de règlement collectif de la dette?
Que faire si je ne suis pas d'accord avec une autre décision du juge ?,Droit financier,What if I disagree with another judge's decision?,"If I disagree with another judge's decision, what should I do?","Si je ne suis pas d'accord avec la décision d'un autre juge, que dois-je faire?"
"Nous sommes mariés, quel nom portera notre enfant ?",Droit de la famille,"We're married, what name will our child bear?","We're married, what will our child's name be?","Nous sommes mariés, quel sera le nom de notre enfant ?"
Suis-je couvert si mon enfant mineur commet un acte intentionnel ?,Droit financier,Am I covered if my minor child commits an intentional act?,Is my child covered if they commit an intentional act?,Mon enfant est-il couvert s'il commet un acte intentionnel?
Mon propriétaire peut-il mettre d'initiative mes meubles à la rue à Bruxelles ?,Droit immobilier,Can my owner initiate my furniture at the street in Brussels?,Can my owner start my furniture in the street?,Mon propriétaire peut-il commencer mes meubles dans la rue ?
Précompte immobilier : dois-je le payer à Bruxelles ?,Droit immobilier,Real estate discount: do I have to pay it in Brussels?,Do I have to pay the real estate discount in Brussels?,Dois-je payer la remise immobilière à Bruxelles ?
Comment puis-je être certain que mes proches trouveront mon testament après mon décès ?,Droit financier,How can I be sure that my loved ones will find my will after my death?,I don't know how my loved ones will find my will after I die.,Je ne sais pas comment mes proches trouveront mon testament après ma mort.
"Je ne paie pas mon stationnement, vais-je recevoir une amende pénale ?",Droit financier,"I'm not paying for my parking, am I going to be fined?",Am I going to be fined for not paying for my parking?,Est-ce que je vais être condamné à une amende pour ne pas avoir payé mon parking ?
Peut-on m'imposer une mesure d'administration de biens et/ou de la personne ?,Droit de la famille,Can I be required to administer property and/or the person?,Can I be required to take care of the person or property?,Puis-je être tenu de prendre soin de la personne ou des biens?
Je souhaite divorcer pour cause de désunion irrémédiable. Puis-je fixer une limite dans le temps pour la pension alimentaire ?,Droit de la famille,I wish to divorce because of irremediable disunity. Can I set a time limit for alimony?,Can I set a time limit for alimony?,Puis-je fixer un délai pour la pension alimentaire ?
Comment modifier la mesure d'administration de biens et/ou de la personne ?,Droit de la famille,How to modify the measure of administration of property and/or the person?,How can we modify the measure of administration of property?,Comment pouvons-nous modifier la mesure de l'administration des biens?
Quels sont les revenus pris en compte pour l'aide juridique si je vis seul ?,Droit pénal,What are the revenues taken into account for legal aid if I live alone?,"If I live alone, what are the revenues taken into account for legal aid?","Si je vis seul, quels sont les revenus pris en compte pour l'aide juridique?"
Je loue un garage. Quelles règles s'appliquent à mon bail à Bruxelles ?,Droit immobilier,What rules apply to my lease in Brussels?,What rules apply to my lease?,Quelles règles s'appliquent à mon bail?
Les père et mère de l'enfant résident séparément. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant ?,Droit de la famille,The child's father and mother reside separately. What if the other parent made a decision with which I do not agree about our child?,"If the other parent made a decision that I don't agree with, what would happen?","Si l'autre parent prenait une décision avec laquelle je ne suis pas d'accord, que se passerait-il ?"
Je m'assure que le propriétaire a obtenu un permis de location. Pour quels logements le permis de location est-il nécessaire en Wallonie ?,Droit immobilier,I make sure the owner has obtained a rental permit. For what accommodation is the rental permit required in Wallonia?,I make sure the owner has a permit.,Je m'assure que le propriétaire a un permis.
J'ai signé une déclaration de cohabitation légale. Puis-je louer ou vendre notre maison sans l’accord de mon cohabitant légal ?,Droit de la famille,I signed a declaration of legal cohabitation. Can I rent or sell our house without the consent of my legal cohabitant?,Can I rent or sell our house without the consent of my legal cohabitant?,Puis-je louer ou vendre notre maison sans le consentement de mon cohabitant légal?
Je suis parent. Comment réclamer les frais extraordinaires à mon ex ?,Droit de la famille,"I'm a parent, how do I claim extraordinary expenses from my ex-wife?",I'm a parent and how do I claim extraordinary expenses from my ex-wife?,Je suis un parent et comment puis-je réclamer des dépenses extraordinaires à mon ex-femme ?
Dois-je partir avant la mise en oeuvre de l'expulsion en Wallonie ?,Droit immobilier,Do I have to leave before the expulsion takes place in Wallonia?,Do I have to leave before the expulsion takes place?,Dois-je partir avant l'expulsion ?
Je me lance dans la vie. Je vis en colocation. Je travaille. Comment puis-je contester le montant que je dois payer ?,Droit financier,I'm moving into life. I live in a co-location. I work. How can I dispute the amount I have to pay?,I'm moving into life and I don't know how to dispute the amount I have to pay.,Je passe à la vie et je ne sais pas comment contester le montant que je dois payer.
"Mon bail est un bail étudiant et de résidence principale, puis-je choisir quelles règles appliquer à Bruxelles ?",Droit immobilier,"My lease is a student and principal residence lease, can I choose which rules apply in Brussels?",Can I choose which rules apply to my lease in Brussels?,Puis-je choisir quelles règles s'appliquent à mon bail à Bruxelles?
Je vis avec ma famille en Belgique. Je deviens cohabitant légal. Peut-on m'expulser si je vais à la commune pour faire une déclaration de cohabitation légale ?,Droit des étrangers,I live with my family in Belgium. I become a legal cohabitant. Can I be expelled if I go to the municipality to make a declaration of legal cohabitation?,Can I be kicked out of Belgium if I make a declaration of legal cohabitation?,Puis-je être expulsé de Belgique si je fais une déclaration de cohabitation légale?
J'ai été condamné à une peine de prison. Puis-je obtenir une libération conditionnelle ?,Droit pénal,I was sentenced to imprisonment. Can I get parole?,Can I get out of prison?,Je peux sortir de prison ?
Une personne âgée qui n’a plus toute sa tête peut-elle faire l’objet d’une mise en observation ?,Droit de la famille,Can an elderly person who no longer has his or her entire head be subjected to observation?,Is it possible for an elderly person who no longer has his or her entire head to be observed?,Est-il possible qu'une personne âgée qui n'a plus toute sa tête soit observée?
Je me sépare. Puis-je réclamer une pension alimentaire avant divorce ?,Droit de la famille,Can I claim alimony prior to divorce?,Is it possible to claim alimony prior to divorce?,Est-il possible de réclamer une pension alimentaire avant le divorce?
"J’ai été condamné à payer une amende pénale, quand dois-je la payer ?",Droit pénal,"I was sentenced to pay a criminal fine, when do I have to pay it?",When do I have to pay the criminal fine?,Quand dois-je payer l'amende pénale ?
J'ai signé une déclaration de cohabitation légale. Les biens que je possédais avant notre cohabitation légale sont-ils communs ?,Droit de la famille,I signed a declaration of legal cohabitation. Is the property I owned before our legal cohabitation common?,I signed a declaration of legal cohabitation.,J'ai signé une déclaration de cohabitation légale.
Dois-je prendre un avocat pour contester la décision d’un organisme de sécurité sociale en Wallonie ?,Droit immobilier,Do I have to hire a lawyer to challenge the decision of a social security agency in Wallonia?,Do I have to hire a lawyer to challenge the decision of the social security agency in Wallonia?,Dois-je engager un avocat pour contester la décision de l'agence de sécurité sociale en Wallonie?
Dois-je payer les frais de justice si je conteste une décision d’un organisme de sécurité sociale en Wallonie ?,Droit immobilier,Do I have to pay the costs of justice if I dispute a decision of a social security agency in Wallonia?,Do I have to pay the costs of justice if I dispute a decision of a social security agency in Wallonia?,Dois-je payer les frais de justice si je conteste une décision d'une agence de sécurité sociale en Wallonie?
A quoi sert l’état des lieux à Bruxelles ?,Droit immobilier,What is the state of play in Brussels for?,What is the state of play in the Belgian capital?,Quel est l'état des lieux dans la capitale belge ?
"Je suis convoqué devant le tribunal de police, que va-t-il se passer ?",Droit pénal,"I'm being summoned to the police court, what's going to happen?",What's going to happen when I'm summoned to the police court?,Que va-t-il se passer quand je serai convoqué au tribunal de police ?
Comment récupérer la garantie locative à Bruxelles ?,Droit immobilier,How to recover the rental guarantee in Brussels?,How to get the rental guarantee in Brussels?,Comment obtenir la garantie de location à Bruxelles ?
"J'ai une procédure à l'étranger, que faire ?",Droit pénal,"I have a procedure abroad, what to do?","I have a procedure abroad, what to do?","J'ai une procédure à l'étranger, que faire ?"
Je vis avec ma famille en Belgique. J'ai un enfant en Belgique. Je suis étranger. Comment reconnaitre mon enfant né en Belgique ?,Droit des étrangers,I live with my family in Belgium. I have a child in Belgium. I am a foreigner. How do I recognize my child born in Belgium?,I live with my family in Belgium.,Je vis avec ma famille en Belgique.
"Quand dois-je reprendre le travail après le congé de maternité, et quelles démarches dois-je faire ?",Droit de la famille,"When should I return to work after maternity leave, and what steps should I take?",What should I do when I return to work after maternity leave?,Que dois-je faire lorsque je retourne au travail après un congé de maternité?
Je me sépare. Le juge de la famille peut-il imposer à l'un de nous de quitter le logement familial ?,Droit de la famille,Can the family judge force one of us to leave the family home?,Can the family judge force one of us to leave the family home?,Le juge de la famille peut-il forcer l'un d'entre nous à quitter la maison familiale?
Le bail non officiel de colocation prend-il automatiquement fin à l'échéance à Bruxelles ?,Droit immobilier,Does the unofficial rental lease automatically end at maturity in Brussels?,Does the unofficial rental lease end at maturity in Brussels?,Le bail de location non officiel prend-il fin à l'échéance à Bruxelles?
Frais de gestion de l'agence immobilière : dois-je les payer à Bruxelles ?,Droit immobilier,Real estate agency management fees: do I have to pay them in Brussels?,Do I have to pay real estate agency management fees in Brussels?,Dois-je payer les frais de gestion d'agence immobilière à Bruxelles ?
Nous ne sommes pas mariés. Puis-je reconnaître mon enfant avant sa naissance et comment faire ?,Droit de la famille,We are not married. Can I recognize my child before he is born and how to do it?,I don't know how to recognize my child before he is born.,Je ne sais pas comment reconnaître mon enfant avant sa naissance.
Je me sépare. Le juge de la famille peut-il imposer à l'un de nous de quitter le logement familial ?,Droit de la famille,Can the family judge force one of us to leave the family home?,Can the family judge force one of us to leave the family home?,Le juge de la famille peut-il forcer l'un d'entre nous à quitter la maison familiale?
Comment se passe la procédure du trajet de réintégration ?,Droit de la protection sociale,How is the procedure for the reintegration journey going?,How is the reintegration journey going?,Comment se déroule le voyage de réintégration?
Je reçois les confidences en tant que professionnel. Peut-on me poursuivre pour violation du secret professionnel si la personne qui s'est confiée m'avait autorisé à révéler ?,Droit du travail,I receive the confidences as a professional. Can I be prosecuted for breach of professional secrecy if the person who confided had allowed me to reveal?,"If the person allowed me to reveal, can I be prosecuted for professional secrecy?","Si la personne m'a permis de révéler, puis-je être poursuivi pour secret professionnel ?"
Je suis majeur. Je séjourne en Belgique depuis au moins 10 ans. Comment faire la déclaration de nationalité belge si je séjourne en Belgique depuis 10 ans ?,Droit des étrangers,I am an adult. I have been in Belgium for at least 10 years. How do I make the declaration of Belgian nationality if I have been in Belgium for 10 years?,I have been in Belgium for at least 10 years.,Je suis en Belgique depuis au moins 10 ans.
Je divorce. Je divorce pour cause de désunion irrémédiable. Que se passe-t-il si mon conjoint est maintenant d’accord de divorcer ?,Droit de la famille,I divorce. I divorce because of irremediable disunion. What happens if my spouse now agrees to divorce?,"If my spouse agrees to divorce, what happens?","Si mon conjoint accepte de divorcer, que se passe-t-il?"
Qui va faire exécuter le jugement ?,Droit financier,Who's going to execute the judgment?,Who is going to execute the judgement?,Qui va exécuter le jugement ?
Je me marie. Puis-je contester le refus de mon mariage ?,Droit de la famille,Can I dispute the refusal of my marriage?,Can I challenge the refusal of my marriage?,Puis-je contester le refus de mon mariage?
Je suis en séjour illégal en Belgique (sans papiers). Je suis en séjour illégal. Puis-je reconnaître mon enfant en Belgique ?,Droit des étrangers,I am illegally staying in Belgium (undocumented). I am in an illegal stay. Can I recognize my child in Belgium?,I'm in an illegal stay in Belgium.,Je suis dans un séjour illégal en Belgique.
Qui contrôle le fonctionnement de la tutelle ?,Droit de la famille,Who controls the functioning of guardianship?,Who is in charge of the functioning of guardian?,Qui est chargé du fonctionnement du tuteur?
Comment dois-je renoncer à une succession ?,Droit financier,How do I give up a succession?,I don't know how to give up a succession.,Je ne sais pas comment abandonner une succession.
Les parents ne sont pas mariés ensemble. Quelles démarches effectuer pour être reconnu comme le père de mon enfant si ni moi ni la mère ne sommes mariés ?,Droit de la famille,The parents are not married together. What steps are taken to be recognized as the father of my child if neither I nor the mother are married?,"If neither I nor the mother are married, what steps are taken to be recognized as the father of my child?","Si ni moi ni la mère ne sommes mariés, quelles mesures sont prises pour être reconnues comme le père de mon enfant?"
Puis-je porter plainte au parquet si je suis victime d’une infraction ?,Droit pénal,Can I file a complaint with the prosecution if I am a victim of an offence?,"If I am a victim of an offence, can I file a complaint with the prosecution?","Si je suis victime d'une infraction, puis-je déposer une plainte auprès de l'accusation?"
Je suis marié(e). Puis-je vendre les meubles de la maison sans l’accord de mon conjoint ?,Droit de la famille,I am married. Can I sell the furniture of the house without my spouse's consent?,Can I sell the furniture of the house without my spouse's consent?,Puis-je vendre les meubles de la maison sans le consentement de mon conjoint?
Je vis avec ma famille en Belgique. Je deviens cohabitant légal. Puis-je faire une déclaration de cohabitation légale si je suis en séjour illégal ?,Droit des étrangers,I live with my family in Belgium. I become a legal cohabitant. Can I make a declaration of legal cohabitation if I am in an illegal stay?,Can I make a declaration of legal cohabitation if I am in an illegal stay?,Puis-je faire une déclaration de cohabitation légale si je suis en séjour illégal?
Je suis parent. L'hébergement alterné empêche-t-il le paiement d'une contribution alimentaire ?,Droit de la famille,I'm a parent. Does alternative accommodation prevent the payment of a maintenance contribution?,"I'm a parent, does alternative accommodation prevent the payment of a maintenance contribution?","Je suis un parent, est-ce que d'autres mesures d'adaptation empêchent le paiement d'une contribution d'entretien?"
