query,super_category
What is the cost of a divorce?,Droit pénal
"If I'm kicked out, what about my furniture in Wallonia?",Droit immobilier
Can my owner end the life lease in Brussels?,Droit immobilier
Can I break the lease in Brussels because my owner doesn't do the necessary repairs?,Droit immobilier
Is expulsion quick in Brussels?,Droit immobilier
"If I live with my children, what income is considered for legal aid?",Droit pénal
Who is going to execute the judgement?,Droit financier
How can society end the social housing lease in Wallonia?,Droit immobilier
Is it necessary for me to take a medical examination before I return to a suitable job?,Droit de la protection sociale
"If the parents are not married, can I have a bond of filiation with my child?",Droit de la famille
How can I challenge the amount of taxes I have to pay?,Droit financier
Can I make a declaration of legal cohabitation if I am in an illegal stay?,Droit des étrangers
The child's father and mother reside together.,Droit de la famille
What is a maintenance obligation?,Droit de la famille
What expenses do I have to pay as a tenant in Brussels?,Droit immobilier
What is the role of the trusted person?,Droit de la famille
Am I entitled to legal aid (ex pro deo) if I receive assistance from CPAS?,Droit pénal
The parents are not married together. The mother of the child is married to someone other than the father. Can I recognize my child before she is born if the mother is married to someone else?,Droit de la famille
What lease is considered a 9-year lease in Brussels?,Droit immobilier
How can I resolve my neighbourhood conflict?,Droit immobilier
What is the role of the CPAS in the event of expulsion?,Droit immobilier
Is it possible to claim alimony prior to divorce?,Droit de la famille
The child's father and mother reside together. Who can make decisions about the child if the parents live together?,Droit de la famille
"I am married. The owner has sent his notice to one spouse, is it valid?",Droit de la famille
I'm hosting a friend/friend. Do I have to stay with my child forever?,Droit immobilier
Should we always set a timetable for the exchange of conclusions?,Droit pénal
Can the CPAS make deductions from my RIS?,Droit de la protection sociale
What if I get a bill of charges two years after the end of my lease in Wallonia?,Droit immobilier
"I am a salaried worker.When do I have to return to work after maternity leave, and what steps do I have to take?",Droit du travail
Can my owner terminate the nine-year lease for his children to occupy the accommodation in Brussels?,Droit immobilier
Who is responsible for the state of affairs in Brussels?,Droit immobilier
Who am I supposed to pay my debt to?,Droit financier
"If I don't pay my consumer credit anymore, am I registered with the National Bank?",Droit financier
I make sure the owner has obtained a rental permit (Walloon Region). How do I obtain a rental permit in Wallonia?,Droit immobilier
What kind of sanctions do I risk if I work in the dark?,Droit du travail
How is the real estate seizure going?,Droit financier
I was sentenced to imprisonment. Can I get parole?,Droit pénal
What happens to the lease in the event of the owner's death in Brussels?,Droit immobilier
Is the expulsion interrupted if I am in RCD in Wallonia?,Droit immobilier
I make sure the owner has obtained a rental permit. What happens if my owner does not have a rental permit?,Droit immobilier
Is the state of play mandatory in the city?,Droit immobilier
Is it possible for me to be placed under the administration of property or the person?,Droit de la famille
Is the rental guarantee compulsory in Brussels?,Droit immobilier
Can we grab my furniture for my friend?,Droit immobilier
Who can be heard by the justice of the peace in the process of placing property and/or the person under administration?,Droit de la famille
"In the event of a conflict with his or her guardian, what can the child do?",Droit de la famille
Do third parties still have to ask for the consent of both parents?,Droit de la famille
My friend is a resident of my house.,Droit financier
What is a renovation lease in Brussels?,Droit immobilier
Can I change my designated lawyer if I'm not satisfied?,Droit pénal
What is a summons?,Droit pénal
I make sure the owner has a permit.,Droit immobilier
Will the judge refuse to house my children if I don't have a room for every child?,Droit de la famille
How do I apply to the Amicable Settlement Chamber (CRA)?,Droit de la famille
Is it possible to ask for a conciliation to settle a rental dispute?,Droit immobilier
How to find a place for a minor child?,Droit de la famille
What income is considered for legal aid if I live with others?,Droit pénal
"If I am in debt, is this taken into account for legal aid?",Droit pénal
I live with my family in Belgium. I have a child in Belgium. I am a foreigner. What documents do I have to deposit in the municipality to recognize my child?,Droit des étrangers
Is the work sentence paid?,Droit pénal
Do I have to pay the costs of justice if I dispute a decision of a social security body in Brussels?,Droit immobilier
"If I live alone, what are the revenues taken into account for legal aid?",Droit pénal
Can I rent or sell our house without the consent of my legal cohabitant?,Droit de la famille
I have been in Belgium for at least 10 years.,Droit des étrangers
Can we seize my furniture for my roommate's debts in Wallonia?,Droit immobilier
Where can I find a model of a lease request in Wallonia?,Droit immobilier
What if a new creditor is involved in the settlement of debts?,Droit financier
Can a minor child make decisions alone?,Droit de la famille
"I just got social housing, how can I break my current lease in Wallonia?",Droit immobilier
How can I prove that I am not responsible for my child's actions?,Droit de la famille
"If I'm guilty of making tags, what are the consequences?",Droit pénal
"If I'm expelled, what about my furniture in Wallonia?",Droit immobilier
How long is my water bill in Wallonia?,Droit financier
What costs can the hospital add to my bill for late payment?,Droit financier
There is a timetable for the exchange of conclusions.,Droit pénal
Is it possible that my income conditions vary when I settle debts together?,Droit financier
I have been in Belgium for at least 5 years.,Droit des étrangers
Damage to housing: who pays in Brussels?,Droit immobilier
I'm a victim of domestic violence.,Droit de la famille
How many times can I request an extension?,Droit immobilier
Can my owner start my furniture in the street?,Droit immobilier
How can I make known my last wishes for my funeral?,Droit financier
I'm a parent and my ex doesn't pay the food contribution.,Droit de la famille
Does the collective settlement of debts stop the seizures on my furniture or my salary?,Droit financier
Before which judge should we go to decide how to house the children?,Droit de la famille
I am an adult. I was born in Belgium. Can I appeal if I have a negative opinion on my application for nationality?,Droit des étrangers
"If one of the legal cohabitants dies, what happens?",Droit de la famille
What are the charges in the city?,Droit immobilier
Who can apply for collective debt settlement?,Droit financier
How do I file an application for urgent and interim measures before the family court?,Droit de la famille
Can I suspend the payment of my rent if my owner doesn't make the necessary repairs?,Droit immobilier
I'm a victim of domestic violence.,Droit de la famille
How am I responsible for my child?,Droit de la famille
When can the justice of the peace end the lease?,Droit immobilier
Can I break the lease in Brussels because my owner doesn't do the necessary repairs?,Droit immobilier
I divorce. I divorce because of irremediable disunity. We agree to divorce. How can I file a divorce application together because of irretrievable disunity?,Droit de la famille
How is the divorce procedure done by mutual consent?,Droit de la famille
Is it possible for me to have the free assistance of a lawyer?,Droit pénal
How do I know my house is overcrowded?,Droit immobilier
Do I have to appear before the police court?,Droit pénal
What happens if I don't have fire insurance?,Droit financier
How can we appeal against the decision of a social security body?,Droit de la protection sociale
Can I file a complaint if I get hurt in a fight?,Droit pénal
Is it possible to end my lease before it expires in Brussels?,Droit immobilier
When there's no money to pay the debt mediator?,Droit financier
"If I'm expelled due to an uninhabitable order, am I going to receive social housing in Wallonia?",Droit immobilier
"If my spouse agrees to divorce, what happens?",Droit de la famille
I live with my family in Belgium. I become a legal cohabitant. In which cases can the registrar refuse to register a declaration of legal cohabitation?,Droit des étrangers
I'm a parent and how do I claim extraordinary expenses from my ex-wife?,Droit de la famille
Do you need a rental permit for a co-location in Wallonia?,Droit immobilier
Do I have to have the other parent's agreement to go on vacation with my child?,Droit de la famille
What is the rent revision in Brussels?,Droit immobilier
Can I propose a debt mediator?,Droit financier
Can my neighbor mow on Sundays?,Droit immobilier
Can I claim a food contribution from my ex several years after our separation?,Droit de la famille
Is my financial difficulties temporary or recurrent?,Droit financier
Can the owner require an expert to prepare the situation in Brussels?,Droit immobilier
The parents are not married together.,Droit de la famille
"If I have made mistakes, can the judge grant me collective debt settlement (CDR)?",Droit financier
"If I die, can my adult child continue to occupy social housing in Wallonia?",Droit immobilier
What conditions do I need to meet to be eligible for the elderly assistance allowance?,Droit de la protection sociale
"If I stay in the house after the short term lease ends, what will happen?",Droit immobilier
I signed a declaration of legal cohabitation. Is the property I owned before our legal cohabitation common?,Droit de la famille
Who has to pay for the state of affairs in Brussels?,Droit immobilier
I am the child's father/mother. Do I have to pay a food contribution?,Droit de la famille
The child's father and mother reside separately. What if the other parent made a decision with which I do not agree about our child?,Droit de la famille
How long is my rent to be paid?,Droit financier
I receive the confidences as a professional. Can I be prosecuted for breach of professional secrecy if the person who confided had allowed me to reveal?,Droit du travail
What are the owner's repairs in the city?,Droit immobilier
I don't know how to calculate the indexation of my rent.,Droit immobilier
The parents are not married to each other.,Droit de la famille
Can I ask my ex spouse for financial assistance if we split up?,Droit de la famille
"If I don't pay my credit card bill, what are the risks?",Droit financier
"I'm a parent, can we amicably resolve the food contribution problems?",Droit de la famille
Can I choose my lawyer?,Droit pénal
Are there any costs during the proceedings?,Droit pénal
Does the unofficial rental lease automatically end at maturity in Brussels?,Droit immobilier
What if the debt mediation doesn't respond to my requests?,Droit financier
I was divorced because of irremediable disunity.,Droit de la famille
I'm getting into life. I live with my parents. I work. How can I dispute the amount I have to pay?,Droit financier
Do I have to sign a lease agreement?,Droit immobilier
What is the movable seizure?,Droit financier
"In the event of Wallonia's expulsion, what is the role of the CPAS?",Droit immobilier
Who are the maintenance debtors from which the CPAS can recover social assistance?,Droit de la protection sociale
Can the family court make decisions about our social housing lease if we split up?,Droit immobilier
What do I do when I have a procedure in another judicial district?,Droit pénal
What if I don't tell the truth at the police hearing?,Droit pénal
Can I introduce a collective debt settlement?,Droit financier
Do I have to pay legal fees?,Droit pénal
I have divorced because of irretrievable disunity.,Droit de la famille
How to distribute the charges among the different tenants of a condominium in Wallonia?,Droit immobilier
I'm bringing a case to court. How can I bring a case to court?,Droit pénal
Do I have to help my spouse if he's in need?,Droit de la famille
Do I have to confess my guilt to the police or not?,Droit pénal
Can I divorce without my spouse's consent?,Droit de la famille
I live with my family in Belgium. I have a child in Belgium. I am a foreigner. Is the recognition of a child in the same way for a Belgian or a foreigner?,Droit des étrangers
What is the difference between the package and the provision for expenses in Brussels?,Droit immobilier
Can I be withdrawn from my family allowance?,Droit pénal
What is the value of agreements obtained in family mediation?,Droit de la famille
Is it possible for the owner to index the rent in Brussels?,Droit immobilier
What is the cost of debt mediation?,Droit financier
What are my rights in my partner's estate?,Droit financier
How to get the rental guarantee in Brussels?,Droit immobilier
I am a professional and should I speak to the King's prosecutor about radicalization or terrorism?,Droit du travail
"In case of unsanitaryness, how do I apply to the justice of the peace?",Droit immobilier
May I report to the Public Prosecutor's Office an offence of which I am a witness?,Droit pénal
What do I risk if I threaten a passerby to give me his wallet and his gsm?,Droit pénal
Can the police stop me if she surprises me breaking a car?,Droit pénal
What if I don't tell the truth at my police hearing as a witness?,Droit pénal
I am illegally staying in Belgium (undocumented). I am a foreigner. Can the municipality refuse to recognize my child?,Droit des étrangers
I'm a parent.,Droit de la famille
Can I terminate my long-term lease before expiry in Brussels?,Droit immobilier
Do I have to hire a lawyer to challenge the decision of a social security agency in Wallonia?,Droit immobilier
Is it possible for my creditor to have me sentenced to payment of my debt?,Droit financier
Does the collective settlement of debts prevent me from paying back my friends or relatives who have lent me money?,Droit financier
Can I put an end to the lifetime lease in Brussels?,Droit immobilier
Can I change my mind?,Droit financier
Should I tell the interviewer that I'm pregnant at the job interview?,Droit de la famille
How can I be sure that my loved ones will find my will after my death?,Droit financier
I am married. Can my spouse force me to work to meet household expenses?,Droit de la famille
Which court should you go to if there's a problem with filiation?,Droit de la famille
What documents do I need to get married?,Droit de la famille
What is the role of the subrogated tutor?,Droit de la famille
Can I ask for a reduction in rent during leases in Brussels?,Droit immobilier
Is my rental lease a principal residence lease?,Droit immobilier
I'm a victim of domestic violence.,Droit de la famille
Do I have to pay anything if I am entitled to legal aid (ex pro deo)?,Droit pénal
A detailed medical certificate is what it is.,Droit de la famille
Is it possible that I would be given credit without checking my finances?,Droit financier
How do I understand my water bill in Wallonia?,Droit financier
What is a quote?,Droit pénal
"If my student lease is not registered, can I terminate it without notice or compensation in Brussels?",Droit immobilier
May I turn to the justice of the peace to settle a rental dispute in Brussels?,Droit immobilier
Can I challenge the decision to place property?,Droit de la famille
How do I know which family court is competent for my problem?,Droit de la famille
I file a complaint with a mediator. The company is located in Belgium. In which cases can I file a complaint with the Ombudsman for the consumer?,Droit financier
Is it possible for my owner to fix the price of rent?,Droit immobilier
How much do I have to pay for legal proceedings?,Droit pénal
"If I don't pay my food contribution, can I get all my income?",Droit financier
What are the consequences of our separation as a legal cohabitant?,Droit de la famille
Can the judge give me a payment period if I don't repay the money?,Droit financier
"As a victim of domestic violence, can I leave the family home?",Droit de la famille
I am an adult. I have been in Belgium for at least 10 years. Under what conditions can I apply for nationality if I have lived in Belgium for 10 years?,Droit des étrangers
I'm renting a kot (common law lease). What happens if I didn't apply for a rental permit in Wallonia?,Droit immobilier
Can my landlord cancel my lease if I don't pay my rent?,Droit financier
What is the role of the trusted person?,Droit de la famille
Is it possible for me to ask that certain records be removed from my criminal record?,Droit pénal
How to arrange accommodation for a minor child?,Droit de la famille
Do I have to leave before the expulsion is implemented?,Droit immobilier
Is it possible to put my legal cohabitant at the door?,Droit de la famille
I want to carry out a health and overcrowding survey in Wallonia.,Droit immobilier
Who decides to grant the extension for exceptional circumstances?,Droit immobilier
On what terms can I get married in Belgium?,Droit de la famille
How can we avoid expulsion to Wallonia?,Droit immobilier
"I'm a parent, my ex doesn't pay the food contribution anymore, does he risk imprisonment?",Droit de la famille
My tenant didn't pay his water bill.,Droit financier
"If I don't pay the food contribution for my children, what will happen?",Droit financier
I put an apartment or a house for rent (main residence lease).Can I put my tenant at the door in Wallonia?,Droit immobilier
"If we delay the celebration of my marriage, what will happen?",Droit de la famille
What is the value of family mediation agreements?,Droit de la famille
"If I get caught with cannabis, who decides my punishment?",Droit pénal
What if the other parent does not comply with the accommodation arrangements set by the judge?,Droit de la famille
"What is the meaning of ""repairs made necessary by oldness, normal wear and tear or force majeure"" in Brussels?",Droit immobilier
Where can I find a model of a lease request?,Droit immobilier
Can I change my lawyer if I'm not satisfied?,Droit pénal
Who can challenge paternity or maternity and within what period?,Droit de la famille
I don't know if I should submit my request for urgent and interim measures alone or with a lawyer.,Droit de la famille
Who appoints the guardian?,Droit de la famille
When does the notice period start in a 9-year lease?,Droit immobilier
What are the risks if I don't pay for my parking?,Droit financier
Can I be kicked out of my social housing if I don't follow the rules?,Droit immobilier
I divorce because of irretrievable disunity.,Droit de la famille
I live with my family in Belgium. I have a child in Belgium. I am a foreigner. How do I recognize my child born in Belgium?,Droit des étrangers
How can we appeal against the decision of a social security body in Wallonia?,Droit immobilier
Is the guardian obliged to accept his designation?,Droit de la famille
Can the owner ask me to pay the rent if I live with my partner but I didn't sign the lease?,Droit immobilier
I divorce. I divorce because of irretrievable disunity. When will we be officially divorced (divorce because of irretrievable disunity)?,Droit de la famille
"I'm becoming a legal cohabitant, do we have to make a legal cohabitation agreement?",Droit de la famille
Can my rent be calculated in Brussels?,Droit immobilier
"My lease is a student and principal residence lease, can I choose which rules apply in Brussels?",Droit immobilier
How can we tell if a home is struck by an uninhabitable order in Wallonia?,Droit immobilier
I am an adult. I have been in Belgium for at least 5 years. Can I bring an action in the event of a negative opinion concerning my application for nationality?,Droit des étrangers
Is my minor in a boarding school still covered by my insurance?,Droit financier
What if the owner abuses access in Wallonia?,Droit immobilier
"When do I have to return to work after maternity leave, and what should I do?",Droit du travail
I receive the confidences as a professional and can I tell my colleagues everything?,Droit du travail
What happens if I don't show up for court?,Droit pénal
"I'm stateless, how do I get it?",Droit des étrangers
What are the appeals against an eligibility decision?,Droit financier
Can I personally choose my lawyer?,Droit pénal
Can I be asked for financial assistance for the child if I'm his biological father but not legal?,Droit de la famille
May I disinherit my children?,Droit financier
"If the parents are separated, who can make decisions about the child?",Droit de la famille
Where do I get my criminal record?,Droit pénal
What happens if I don't pay the criminal fine?,Droit pénal
Can I have help with legal fees (legal aid)?,Droit pénal
Is my adult child covered by my insurance?,Droit financier
Who can be a guardian?,Droit de la famille
Where can I find a model of a lease request in Wallonia?,Droit immobilier
What if I disagree with the decision of the CPAS in Wallonia?,Droit immobilier
Can my owner claim any rent indexing arrears in Wallonia?,Droit immobilier
Do I have to pay my legal cohabitant's debts?,Droit de la famille
Do I have to install fire detectors in Brussels?,Droit immobilier
Do I need the other parent's agreement to go on vacation with my child?,Droit de la famille
I bailed for someone in debt who doesn't want to introduce RCD. What can I do?,Droit financier
Can my administrator stop me from driving?,Droit de la famille
Can I get social housing in Wallonia if I'm kicked out?,Droit immobilier
"I don't work, I live alone, how can I dispute the amount I have to pay?",Droit financier
After how long is the payment of my rent prescribed?,Droit financier
Do I have to install fire detectors in Brussels?,Droit immobilier
My tenant didn't pay his water bill.,Droit financier
"I was under the administration of property on September 1, 2019.",Droit de la famille
Is it possible to split up by mutual agreement without a declaration of legal cohabitation?,Droit de la famille
How to distribute the obligations between roommates in Brussels?,Droit immobilier
Does the collective settlement of debts stop the seizures on my furniture?,Droit financier
I'm married. Should I take a family RC insurance?,Droit de la famille
What is the health and overcrowding survey in Wallonia?,Droit immobilier
What are the risks if I give my future employer a fake degree or resume?,Droit du travail
"I'm hosting a friend/friend. My friend damaged my home, who needs to do the repairs?",Droit immobilier
Do I have to pay alimony to my grandparents and great-grandparents?,Droit de la famille
What can the child do in the event of a conflict with his or her guardian?,Droit de la famille
Can I open a bank account without my spouse's consent?,Droit de la famille
I make sure the owner has a permit.,Droit immobilier
I'm married. My spouse has an inheritance. Do I also benefit from it?,Droit de la famille
What if I feel that the urgent and temporary measures taken by the family judge are unfair?,Droit de la famille
How long is my gas and electricity bill in Brussels?,Droit financier
Can we get my house sold if I don't pay off my mortgage?,Droit financier
"My partner died, what are my rights in his estate?",Droit financier
Can all the arrangements for the accommodations of children be made in advance?,Droit de la famille
Who takes urgent measures for the minor during the proceedings?,Droit de la famille
I divorce. I divorce because of irretrievable disunity. How can I apply for a divorce on my own because of irretrievable disunity?,Droit de la famille
"If the CPAS is convicted and he's going to appeal, will he pay me for the help?",Droit de la protection sociale
I am an adult. I was born in Belgium. How is the procedure for applying for nationality going?,Droit des étrangers
I'm a parent. My ex doesn't pay the food contribution. Can I refuse him to keep seeing the children?,Droit de la famille
What decisions are under parental authority?,Droit de la famille
What is a mortgage credit?,Droit financier
How can we challenge the decision of a social security body?,Droit immobilier
I'm a victim of domestic violence.,Droit de la famille
"The situation has changed since the judgment, how to obtain a new decision from the family judge?",Droit de la famille
Can I file a complaint with the prosecution if I am a victim of an offence?,Droit pénal
I am an adult. I have been in Belgium for at least 5 years. Under what conditions can I apply for Belgian nationality if I have lived in Belgium for 5 years?,Droit des étrangers
I didn't sign a lease. What are my rights in Brussels?,Droit immobilier
Can a roommate end their informal rental lease before the deadline?,Droit immobilier
How to find the addresses and schedules of legal aid offices?,Droit pénal
Real estate agency management fees: do I have to pay them in Brussels?,Droit immobilier
I am an adult and disabled. How is it to apply for a nationality?,Droit des étrangers
I live with my partner in a common-law relationship.,Droit de la famille
We are not married. Can I be forced to establish a bond of filiation with my child if neither I nor the mother are married?,Droit de la famille
Does the Old Age Assistance (APA) benefit decrease if I live with other people in Wallonia?,Droit immobilier
"If there is no state of affairs, what will happen?",Droit immobilier
How many times can I request an extension for exceptional circumstances in Brussels?,Droit immobilier
Can I refuse to work overtime or to work at night?,Droit de la protection sociale
What to do in case of exceptional expenses in the collective settlement of debts?,Droit financier
"I got into a fight at the end of a party, what's the risk?",Droit pénal
I'm a tenant.,Droit financier
"If I don't have a birth certificate for my application for citizenship, what will I do?",Droit des étrangers
What is a quote?,Droit pénal
The child's father is not married to the mother.,Droit de la famille
A friend wants to lend me money.,Droit financier
Do I have to have the other parent's agreement to go on vacation with my child?,Droit de la famille
Do I have to pay anything if I am entitled to legal aid (ex pro deo)?,Droit pénal
I am a foreigner and I am in Belgium.,Droit des étrangers
Does the collective settlement of debts prevent me from earning my income?,Droit financier
What if I don't agree with the decisions made about my grandchildren?,Droit de la famille
What are the penalties if I'm guilty of having made tags/graffitis?,Droit pénal
Can I report an offence I'm witnessing to the police?,Droit pénal
What is the criminal transaction?,Droit pénal
In which cases can I be revoked from the procedure for collective settlement of debts?,Droit financier
Where can I find a model of a lease request in Brussels?,Droit immobilier
Can my owner claim any rent indexing arrears in Brussels?,Droit immobilier
Will the police judge decide on my guilt at the first hearing?,Droit pénal
Can I be expelled in the winter to Brussels?,Droit immobilier
"I'm being summoned for a police hearing, what's going to happen?",Droit pénal
How do I read and understand my water bill in Wallonia?,Droit financier
Does the collective settlement of debts stop an energy cut?,Droit financier
What if the owner doesn't release the rental guarantee?,Droit immobilier
Am I entitled to legal aid (ex pro deo) if I do not belong to any of these categories?,Droit pénal
We're in agreement to divorce because I'm divorced because of irretrievable disunity.,Droit de la famille
I'm an adult. I'm married to a Belgian. What if I don't have a birth certificate for my application for citizenship?,Droit des étrangers
I signed a declaration of legal cohabitation. Who owns the property purchased during legal cohabitation?,Droit de la famille
I become a legal cohabitant. What happens if one of the legal cohabitants dies?,Droit de la famille
"When a debt mediator is appointed, what does he do?",Droit financier
Can I leave family housing without losing my rights if I'm a legal cohabitant?,Droit de la famille
"If my daughter goes to college, can I ask for an increase in the food contribution?",Droit de la famille
What are the consequences of the outcome of the Wallonia investigation?,Droit immobilier
What should be done in case of abuse of access?,Droit immobilier
How does legal cohabitation end?,Droit de la famille
Who has to pay the property discount?,Droit financier
I am a victim of domestic violence. Can I withdraw my complaint of domestic violence?,Droit de la famille
Is a written lease required in Wallonia?,Droit immobilier
Is it a good idea to take family RC insurance?,Droit de la famille
Can all my possessions be seized?,Droit financier
Do I have to get a lawyer?,Droit pénal
I signed a declaration of legal cohabitation. Can I put my legal cohabitant at the door?,Droit de la famille
I'm moving into life and I don't know how to dispute the amount I have to pay.,Droit financier
"The owner sent a notice to one spouse, is it valid?",Droit de la famille
I divorce. I divorce because of irremediable disunity. We agree to divorce. In which cases choose divorce because of irremediable disunity?,Droit de la famille
Where is my money going during the negotiation phase with the creditors?,Droit financier
"The parents are not married together. The mother of the child is married to someone other than the father. What steps to recognize the child if the mother of the child and her husband reside, for more than 300 days officially in different homes?",Droit de la famille
Parents are not married together. What steps are taken to be recognized as the father of my child if the mother divorced less than 300 days before birth?,Droit de la famille
What if I don't have a birth certificate when I apply for citizenship?,Droit des étrangers
My owner requires a rental guarantee of 3 months. Is it legal in Brussels?,Droit immobilier
What tasks will I perform for my work sentence?,Droit pénal
I am married.Can I open a bank account without my spouse's consent?,Droit de la famille
I didn't sign a lease. What are my rights in Brussels?,Droit immobilier
What if I can't agree with the other parent on a decision about our child?,Droit de la famille
Who has to pay the lawyer's fee?,Droit pénal
Can a person under the administration of property sign a lease in Wallonia?,Droit immobilier
"I'm a parent, my ex doesn't pay the food contribution anymore, does he risk imprisonment?",Droit de la famille
Someone has to pay for the damage caused by a robbery.,Droit immobilier
Is my rent index automatic in Brussels?,Droit immobilier
What are the risks of accepting work in the dark if I am unemployed or in job placement?,Droit de la protection sociale
How to apply for a collective debt settlement (CDR) and to whom to contact?,Droit financier
Is it possible for my owner to claim rent arrears in Wallonia?,Droit immobilier
How's the divorce procedure by mutual consent?,Droit de la famille
Where can I find a lease request template?,Droit immobilier
How to find a place for a minor child?,Droit de la famille
Is it possible for my owner to end the nine-year lease to personally occupy the accommodation in Brussels?,Droit immobilier
How can we bring an action against the decision of a social security body in Brussels?,Droit immobilier
How much do I have to pay to bring legal proceedings?,Droit pénal
Is it possible for my owner to claim rent arrears in Brussels?,Droit immobilier
Do I have to pay alimony to my grandparents?,Droit de la famille
How do I know if someone is in charge of property or the person?,Droit de la famille
How much is an appeal against a court decision?,Droit pénal
Can the owner claim the entire rent from a single roommate in Brussels?,Droit immobilier
Am I not allowed to work while I'm pregnant?,Droit du travail
Can I be asked to repair the material damage caused by the fight?,Droit pénal
Should we get a lawyer to go to the labour court against a CPAS?,Droit de la protection sociale
"We are not married, what name will our child bear if his father recognizes him before or at birth?",Droit de la famille
The owner does not reimburse me for the excess of my expenses. What is my use in Brussels?,Droit immobilier
